timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-27 03:51:47,#HowsTheJaish today? Can someone tell us. #JoshIsHigh  #IndiaStrikes #ModiHaiToMumkinHai,omgodara_,"[u'HowsTheJaish', u'JoshIsHigh', u'IndiaStrikes', u'ModiHaiToMumkinHai']",39
2019-02-27 03:37:49,@TimesofIslambad #HowsTheJaish oops I mean #HowsTheJosh 😂😂,PichattisSaalKa,"[u'HowsTheJaish', u'HowsTheJosh']",1051
2019-02-27 03:34:35,@waglenikhil @BBCWorld @ReutersWorld @CNN Who gives a flying fook about you 😂😂 btw #HowsTheJaish #56InchRocks #56_इंच_जिंदाबाद,PichattisSaalKa,"[u'HowsTheJaish', u'56InchRocks', u'56_\u0907\u0902\u091a_\u091c\u093f\u0902\u0926\u093e\u092c\u093e\u0926']",1051
2019-02-27 03:30:40,Lol even we are not going to release  our movies and dramas there😂 but Suna hai pakistanis are fan of Indian shows and movies Unko bolna TV off kerde😂  Jaooo aub sleep tight coz PAF is awake #HowsTheJaish #HowsTheKhaufPakistan https://t.co/e6VUtDqkzs,SubhangiDas__,"[u'HowsTheJaish', u'HowsTheKhaufPakistan']",52
2019-02-27 03:29:24,"1000 kgs bombs dropped on terror camps with pin point accuracy. Forget abt camps being destroyed, they would hv been vaporised. After #Pulwama some sick minds asked us a question, laughing at our grief. Today, we ask them that same question #HowsTheJaish...major  #IndianAirForce",villagedevelop3,"[u'Pulwama', u'HowsTheJaish', u'IndianAirForce']",31
2019-02-27 03:12:43,@sagarikaghose is loudly #HowsTheJaish and @IAF_MCC Dropping 1000 kg boom At #Balakot say DESTROY #HowsTheKhauf madam. @sardanarohit @Shehzad_Ind @The_NehaJoshi @capt_ivane @JagratiGupta3,Rajeshrout99,"[u'HowsTheJaish', u'Balakot', u'HowsTheKhauf']",36
2019-02-27 03:02:51,Which team you will support in this @IPL? #RohitSharma #ViratKohli #MSDhoni #yuvrajsingh #gautamgambhir #surgicalstrike2 #HowsTheJaish #SRK #ShahRukhKhan #AkshayKumar #AjayDevgn #AAMIRKHAN #SalmanKhan #SRH #KKRHaiTaiyaar #INDvsAUS,Yash67974666,"[u'RohitSharma', u'ViratKohli', u'MSDhoni', u'yuvrajsingh', u'gautamgambhir', u'surgicalstrike2', u'HowsTheJaish', u'SRK', u'ShahRukhKhan', u'AkshayKumar', u'AjayDevgn', u'AAMIRKHAN', u'SalmanKhan', u'SRH', u'KKRHaiTaiyaar', u'INDvsAUS']",126
2019-02-27 02:59:19,Which @IPL team you all will support? #RohitSharma #MSDhoni #ViratKohli #SRK #SRH #CSK #KKRHaiTaiyaar #ShahRukhKhan #Surgicalstrike2 #INDvsAUS #AskStar #gautamgambhir #yuvrajsingh #umeshyadav #AnushkaSharma #SalmanKhan #AAMIRKHAN #AkshayKumar #AjayDevgn #HowsTheJaish,Yash67974666,"[u'RohitSharma', u'MSDhoni', u'ViratKohli', u'SRK', u'SRH', u'CSK', u'KKRHaiTaiyaar', u'ShahRukhKhan', u'Surgicalstrike2', u'INDvsAUS', u'AskStar', u'gautamgambhir', u'yuvrajsingh', u'umeshyadav', u'AnushkaSharma', u'SalmanKhan', u'AAMIRKHAN', u'AkshayKumar', u'AjayDevgn', u'HowsTheJaish']",126
2019-02-27 02:31:29,Oh no..pakistani's r telling truth that we just air #strike on tress😔 #HowsTheJaish #IndiaStrikesAgain #IndianArmedForces #BharatMataKiJai #IAFStrikes https://t.co/4jqbX9nqyi,prathamalikk,"[u'strike', u'HowsTheJaish', u'IndiaStrikesAgain', u'IndianArmedForces', u'BharatMataKiJai', u'IAFStrikes']",9
2019-02-27 02:24:24,@nehasiddhwani Jaish has only one member left now.. so i guess there will be no feeling bad abt anything now!!! #HowsTheJaish,pravinag2911,[u'HowsTheJaish'],37
